id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_b2b,away_b2b
290102019,2,home,,,,0,0
290102028,2,home,,,,0,0
290102002,2,home,,,,0,0
290102005,2,home,,,,0,0
290102017,2,home,,,,0,0
290102018,2,away,,,,0,0
290102008,2,home,,,,0,0
290102016,2,home,,,,0,0
290102025,2,away,,,,0,0
290102029,2,away,,,,0,0
290102006,2,home,,,,0,0
290102015,2,home,,,,0,0
290102021,2,home,,,,0,0
290102022,2,away,,,,0,0
290102013,2,home,,,,0,0
290103011,2,home,,,,0,0
290103001,2,home,,,,1,1
290103030,2,home,,,,1,1
290103014,2,home,,,,1,1
290103004,2,away,,,,1,1
290103024,2,home,,,,1,1
290103007,2,home,,,,1,1
290104028,2,home,,,,1,1
290104027,2,home,,,,1,1
290104012,2,away,,,,1,1
290104029,2,home,,,,1,1
290104018,2,home,,,,1,1
290104013,2,home,,,,0,0
290105014,2,away,,,,0,0
290105017,2,home,,,,0,0
290105015,2,home,,,,0,0
290105007,2,home,,,,0,0
290105026,2,home,,,,0,0
290106019,2,home,,,,0,0
290106020,2,home,,,,0,0
290106030,2,home,,,,0,0
290106025,2,home,,,,0,0
290106029,2,away,,,,0,0
290106004,2,home,,,,0,1
290106006,2,home,,,,0,0
290106013,2,away,,,,0,0
290107001,2,away,,,,0,1
290107005,2,home,,,,0,1
290107027,2,away,,,,1,0
290107002,2,away,,,,1,1
290107017,2,home,,,,0,1
290107015,2,away,,,,0,1
290107016,2,home,,,,1,1
290107007,2,home,,,,0,0
290107021,2,away,,,,0,0
290107026,2,home,,,,0,1
290107022,2,home,,,,0,0
290107009,2,away,,,,0,1
290108006,2,home,,,,0,0
290108024,2,home,,,,0,0
290109019,2,home,,,,0,0
290109020,2,home,,,,0,0
290109028,2,home,,,,0,0
290109003,2,home,,,,0,1
290109005,2,home,,,,0,0
290109025,2,away,,,,0,0
290109004,2,home,,,,0,0
290109015,2,home,,,,0,0
290109007,2,away,,,,0,0
290109023,2,away,,,,0,0
290109013,2,home,,,,0,0
290109021,2,home,,,,0,1
290110027,2,away,,,,1,1
290110016,2,home,,,,0,1
290110004,2,away,,,,1,1
290110010,2,home,,,,1,0
290110026,2,home,,,,0,1
290110022,2,home,,,,0,0
290111028,2,away,,,,1,1
290111001,2,away,,,,1,1
290111012,2,away,,,,1,1
290111024,2,away,,,,0,0
290111009,2,home,,,,1,0
290111023,2,home,,,,0,0
290111013,2,home,,,,0,0
290112027,2,away,,,,0,0
290112002,2,home,,,,0,0
290112017,2,home,,,,0,0
