id,season_type,two_way_winner,handicap_winner,over_under_result,home_line_margin,over_under,home_b2b,away_b2b
400489341,2,away,away,,-0.0,,1,1
400489342,2,home,home,,5.0,,1,0
400489343,2,home,home,,-6.5,,0,0
400489344,2,away,away,,-10.0,,0,0
400489345,2,home,home,,-11.5,,0,0
400489346,2,home,home,,-2.0,,0,0
400489347,2,away,away,,-4.0,,0,0
400489348,2,home,home,,-4.5,,0,0
400489349,2,away,away,,-11.5,,0,0
400489350,2,away,away,,-11.5,,0,0
400489351,2,away,away,,-5.5,,0,0
400489352,2,home,home,,-4.0,,0,0
400489353,2,home,home,,-11.5,,0,1
400489354,2,away,away,,-7.0,,0,1
400489355,2,away,away,,-2.0,,0,0
400489356,2,away,home,,2.0,,0,1
400489357,2,away,away,,1.5,,1,0
400489358,2,home,away,,-11.0,,0,1
400489359,2,away,away,,-1.0,,0,0
400489360,2,home,away,,-4.5,,0,1
400489361,2,home,home,,-5.0,,0,1
400489362,2,home,home,,-10.5,,0,1
400489363,2,away,away,,9.5,,0,0
400489364,2,home,away,,-8.5,,0,0
400489365,2,home,home,,-4.0,,0,1
400489366,2,away,away,,-1.0,,0,0
400489367,2,home,home,,-6.0,,0,1
400489368,2,home,home,,-9.0,,0,0
400489369,2,away,away,,-13.5,,0,0
400489370,2,away,away,,-5.0,,0,0
400489371,2,away,away,,-3.5,,0,1
400489372,2,away,home,,9.5,,0,0
400489373,2,home,away,,-7.5,,0,1
400489374,2,away,away,,3.5,,1,1
400489375,2,home,home,,-11.0,,1,0
400489376,2,away,away,,-7.0,,0,0
400489377,2,away,away,,-2.0,,0,0
400489378,2,away,away,,7.0,,0,0
400489379,2,home,home,,-4.5,,0,0
400489380,2,home,home,,-10.0,,0,0
400489381,2,away,away,,-0.0,,0,0
400489382,2,home,home,,-5.5,,0,1
400489383,2,home,away,,-9.0,,0,0
400489384,2,home,home,,-10.0,,0,0
400489385,2,home,home,,-3.0,,0,0
400489386,2,home,home,,-2.0,,0,0
400489387,2,away,home,,6.0,,0,0
400489388,2,away,away,,8.0,,0,0
400489389,2,home,home,,-11.0,,0,0
400489390,2,home,home,,-6.5,,0,0
400489391,2,home,home,,6.5,,0,0
400489392,2,home,home,,6.0,,0,0
400489393,2,home,home,,-8.0,,1,1
400489394,2,home,home,,-5.0,,1,1
400489395,2,home,home,,6.0,,0,1
400489396,2,home,home,,6.0,,0,1
400489398,2,away,away,,-4.0,,1,1
400489399,2,home,tie,,-14.0,,0,1
400489397,2,away,away,,-7.0,,0,1
400489400,2,home,home,,-12.5,,1,0
400489401,2,home,away,,-9.0,,0,1
400489402,2,home,home,,6.5,,0,0
400489403,2,home,home,,2.5,,0,0
400489404,2,home,home,,-9.5,,0,0
400489405,2,away,away,,3.5,,0,0
400489406,2,home,home,,3.5,,0,0
400489407,2,home,home,,-2.5,,0,0
400489408,2,home,home,,-10.0,,0,0
400489409,2,away,away,,1.0,,0,0
400489410,2,home,home,,6.5,,0,1
400489411,2,away,away,,3.5,,0,0
400489412,2,away,away,,-0.0,,0,0
400489413,2,home,home,,-5.5,,0,0
400489414,2,home,away,,-11.5,,0,0
400489415,2,home,home,,-10.5,,0,0
400489416,2,home,home,,-8.0,,0,1
400489417,2,away,away,,2.0,,1,1
