id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
280102005,2,home,,,,2,1
280102011,2,away,,,,3,2
280102016,2,away,,,,3,3
280102019,2,away,,,,3,2
280102026,2,home,,,,3,3
280102027,2,away,,,,2,3
280102030,2,away,,,,3,3
280102002,2,home,,,,3,3
280102006,2,home,,,,2,3
280102012,2,away,,,,3,3
280102014,2,away,,,,2,3
280102018,2,away,,,,1,2
280103004,2,away,,,,4,4
280103007,2,home,,,,2,2
280103021,2,home,,,,2,2
280104011,2,home,,,,3,1
280104016,2,away,,,,3,2
280104019,2,away,,,,3,3
280104028,2,away,,,,2,3
280104002,2,home,,,,3,2
280104005,2,home,,,,2,2
280104009,2,away,,,,3,3
280104013,2,home,,,,1,3
280104015,2,away,,,,3,2
280104017,2,home,,,,2,3
280104024,2,home,,,,2,2
280104006,2,home,,,,1,2
280105001,2,away,,,,2,2
280105021,2,away,,,,1,3
280105022,2,home,,,,3,2
280105004,2,home,,,,3,2
280105008,2,away,,,,3,2
280105010,2,home,,,,3,2
280106012,2,away,,,,2,3
280106027,2,home,,,,2,2
280106028,2,away,,,,2,2
280106016,2,away,,,,3,2
280106029,2,home,,,,3,2
280106007,2,home,,,,2,3
280106030,2,away,,,,3,3
280106013,2,home,,,,1,3
280107021,2,home,,,,2,3
280107009,2,home,,,,2,3
280108005,2,home,,,,3,2
280108016,2,home,,,,3,3
280108020,2,away,,,,3,3
280108023,2,home,,,,3,2
280108026,2,home,,,,2,3
280108027,2,away,,,,3,3
280108029,2,away,,,,3,2
280108030,2,home,,,,3,3
280108004,2,away,,,,3,3
280109001,2,home,,,,2,3
280109003,2,away,,,,2,3
280109015,2,home,,,,3,3
280109021,2,home,,,,3,3
280109022,2,home,,,,2,2
280109028,2,home,,,,2,3
280109002,2,away,,,,2,3
280109012,2,away,,,,1,2
280109017,2,home,,,,3,3
280109018,2,away,,,,3,3
280109006,2,home,,,,2,2
280110023,2,home,,,,3,3
280110024,2,away,,,,3,3
280110026,2,home,,,,2,3
280111003,2,home,,,,2,3
280111007,2,home,,,,2,2
280111020,2,away,,,,3,2
280111001,2,away,,,,2,2
280111005,2,home,,,,3,3
280111009,2,home,,,,2,3
280111010,2,home,,,,3,2
280111013,2,home,,,,3,3
280111017,2,away,,,,3,2
280111018,2,away,,,,3,2
280111025,2,away,,,,3,2
280112021,2,home,,,,3,3
280112023,2,away,,,,2,2
280112026,2,home,,,,2,3
280112030,2,away,,,,3,2
280112012,2,away,,,,1,2
280112024,2,home,,,,2,2
280112027,2,home,,,,2,2
280113028,2,home,,,,2,1
280113010,2,away,,,,3,2
280113001,2,home,,,,2,2
280113009,2,home,,,,3,2
280113013,2,home,,,,3,3
280113018,2,home,,,,3,3
280114023,2,home,,,,3,3
280114025,2,away,,,,3,4
280114026,2,home,,,,3,4
280114030,2,home,,,,4,1
280114002,2,away,,,,3,3
280114017,2,away,,,,3,2
280114024,2,home,,,,2,3
280115001,2,home,,,,3,2
280115016,2,away,,,,2,3
280115019,2,home,,,,3,2
280115029,2,away,,,,3,2
280115008,2,home,,,,4,3
280115010,2,away,,,,3,3
280115012,2,home,,,,2,3
280115018,2,home,,,,3,3
280116003,2,home,,,,2,2
280116011,2,home,,,,2,3
280116014,2,away,,,,1,3
