id,season_type,two_way_winner,handicap_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
400578774,2,home,away,,-10.0,,3,3
400578775,2,away,home,,5.0,,3,4
400578776,2,away,away,,2.0,,3,3
400578777,2,away,away,,-0.0,,3,3
400578778,2,away,away,,6.0,,2,2
400578779,2,away,away,,3.0,,3,2
400578780,2,home,home,,-0.0,,3,3
400578781,2,home,home,,-6.5,,2,3
400578782,2,away,away,,-2.0,,3,3
400578783,2,home,home,,-14.5,,3,2
400578784,2,away,away,,3.5,,3,2
400578785,2,home,home,,-5.5,,2,2
400578786,2,away,home,,4.0,,2,2
400578787,2,away,away,,-3.0,,3,3
400578788,2,home,away,,-11.0,,3,2
400578789,2,home,home,,-9.0,,4,2
400578790,2,away,away,,2.0,,2,3
400578791,2,home,home,,-5.0,,3,3
400578792,2,home,home,,1.0,,3,2
400578793,2,away,away,,-5.5,,2,2
400578794,2,home,home,,-18.0,,2,2
400578795,2,away,away,,5.5,,3,3
400578796,2,home,home,,-3.5,,2,3
400578797,2,home,home,,-3.0,,2,3
400578798,2,away,away,,6.0,,2,3
400578799,2,home,home,,-1.5,,3,2
400578800,2,home,home,,2.0,,2,3
400578801,2,home,home,,5.0,,3,4
400578802,2,away,away,,-3.5,,3,3
400578803,2,away,away,,5.0,,3,3
400578804,2,home,home,,-2.5,,3,3
400578805,2,home,home,,-14.0,,3,3
400578806,2,away,away,,4.0,,3,3
400578807,2,away,away,,-3.5,,3,3
400578808,2,away,away,,-2.0,,3,3
400578809,2,home,away,,-12.5,,2,3
400578810,2,home,home,,-3.0,,2,2
400578811,2,away,away,,-5.5,,2,3
400578812,2,away,away,,3.0,,3,3
400578813,2,away,away,,-8.5,,2,2
400578814,2,home,home,,3.0,,3,2
400578815,2,away,away,,7.0,,3,3
400578816,2,away,away,,6.5,,3,3
400578817,2,home,away,,-13.0,,3,3
400578818,2,home,home,,-3.5,,3,3
400578819,2,away,away,,-4.0,,3,3
400578820,2,away,away,,-9.5,,3,3
400578821,2,away,away,,-10.0,,3,3
400578822,2,home,away,,-8.0,,3,2
400578823,2,away,home,,7.5,,3,3
400578824,2,home,home,,6.0,,2,2
400578825,2,home,home,,-11.0,,2,3
400578826,2,home,home,,-12.0,,2,3
400578827,2,away,away,,-11.0,,2,4
400578828,2,away,away,,11.0,,4,4
400578829,2,home,home,,-10.0,,2,2
400578830,2,home,tie,,-4.0,,3,3
400578831,2,away,away,,-11.0,,3,3
400578832,2,away,away,,2.5,,3,3
400578833,2,home,home,,-2.0,,2,3
400578834,2,home,away,,-12.0,,2,3
