id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_matchup_result
310101004,2,home,,,,1
310101027,2,away,,,,0
310101014,2,home,,,,1
310101016,2,home,,,,0
310101024,2,home,,,,1
310101007,2,home,,,,0
310101015,2,home,,,,1
310101026,2,home,,,,1
310102018,2,home,,,,0
310102012,2,away,,,,0
310102028,2,away,,,,0
310102005,2,away,,,,0
310102022,2,home,,,,0
310102023,2,home,,,,-1
310102013,2,away,,,,0
310103019,2,home,,,,0
310103030,2,away,,,,-1
310103002,2,home,,,,0
310103003,2,home,,,,-1
310103007,2,home,,,,1
310103026,2,home,,,,0
310104014,2,home,,,,1
310104018,2,home,,,,0
310104004,2,home,,,,1
310104029,2,home,,,,0
310104006,2,home,,,,1
310104023,2,away,,,,0
310104013,2,home,,,,1
310105005,2,away,,,,-1
310105017,2,home,,,,-1
310105019,2,home,,,,-1
310105020,2,home,,,,-2
310105002,2,home,,,,0
310105003,2,away,,,,0
310105016,2,away,,,,-1
310105010,2,away,,,,-1
310105026,2,away,,,,1
310105012,2,home,,,,-2
310105021,2,away,,,,0
310106006,2,away,,,,2
310106023,2,home,,,,-1
310107011,2,away,,,,-1
310107020,2,home,,,,-1
310107027,2,home,,,,-1
310107002,2,home,,,,1
310107016,2,away,,,,-1
310107019,2,home,,,,0
310107029,2,home,,,,-2
310107015,2,away,,,,-2
310107009,2,home,,,,0
310107013,2,home,,,,1
310107021,2,away,,,,0
310108001,2,home,,,,2
310108017,2,away,,,,0
310108030,2,home,,,,0
310108008,2,home,,,,0
310108004,2,home,,,,-2
310108025,2,home,,,,-1
310108006,2,away,,,,1
310108010,2,away,,,,0
310109028,2,home,,,,-1
310109012,2,home,,,,-1
310109024,2,home,,,,2
310109021,2,home,,,,0
310109007,2,away,,,,-1
310109022,2,away,,,,0
310109013,2,home,,,,0
310110030,2,home,,,,-1
310110002,2,away,,,,0
310110004,2,home,,,,2
310111020,2,away,,,,0
310111027,2,home,,,,-1
310111016,2,away,,,,-3
310111007,2,home,,,,0
310111022,2,away,,,,1
310111013,2,home,,,,0
310112011,2,home,,,,0
310112028,2,away,,,,-1
310112030,2,home,,,,0
310112002,2,home,,,,0
310112008,2,away,,,,-1
310112003,2,home,,,,0
310112015,2,away,,,,-1
310112010,2,away,,,,-1
310112021,2,home,,,,0
310112026,2,home,,,,0
310112009,2,away,,,,-2
310112012,2,home,,,,0
310113016,2,home,,,,0
310113025,2,home,,,,0
310113007,2,home,,,,0
310114011,2,away,,,,-1
310114020,2,home,,,,1
310114028,2,away,,,,0
310114002,2,home,,,,1
310114018,2,away,,,,1
310114024,2,home,,,,0
310114010,2,away,,,,-1
310114026,2,home,,,,1
310114009,2,home,,,,0
310114013,2,home,,,,1
310114021,2,home,,,,-3
310115001,2,away,,,,0
310115027,2,home,,,,0
310115030,2,away,,,,-1
310115008,2,home,,,,1
310115004,2,home,,,,0
310115016,2,away,,,,-1
310115029,2,home,,,,0
310115007,2,home,,,,0
310115022,2,home,,,,-1
310116012,2,home,,,,-1
310116024,2,home,,,,2
310117018,2,away,,,,1
310117027,2,home,,,,0
310117029,2,away,,,,0
310117020,2,home,,,,1
310117003,2,home,,,,0
310117010,2,home,,,,-1
310117008,2,home,,,,-1
310117012,2,home,,,,-1
310117001,2,home,,,,1
310117009,2,home,,,,0
310117002,2,home,,,,-1
310117022,2,home,,,,2
310117013,2,home,,,,0
310118014,2,away,,,,1
310118004,2,away,,,,-1
310119005,2,away,,,,-1
310119017,2,home,,,,-1
310119019,2,home,,,,-1
310119002,2,home,,,,0
310119003,2,home,,,,0
310119015,2,home,,,,0
310119010,2,home,,,,1
310119024,2,home,,,,0
310119006,2,home,,,,0
310119007,2,home,,,,-1
310119023,2,away,,,,0
310119009,2,home,,,,0
310119012,2,home,,,,0
310120030,2,home,,,,-2
310120004,2,home,,,,1
310120022,2,home,,,,2
310121017,2,home,,,,1
310121019,2,home,,,,-1
310121027,2,away,,,,-1
310121001,2,away,,,,-1
310121002,2,home,,,,0
310121005,2,away,,,,1
310121024,2,home,,,,-1
310121029,2,home,,,,-2
310121007,2,away,,,,1
