id,season_type,home_line_margin,over_under,two_way_winner,handicap_winner,over_under_result,away_away_strk,home_home_strk,away_total_strk,home_total_strk
320101005,2,,,home,,,-2,-1,-3,-1
320101014,2,,,home,,,0,1,-2,4
320101019,2,,,home,,,-1,2,-2,3
320101027,2,,,away,,,-3,-1,1,-3
320101016,2,,,home,,,-1,-2,1,-3
320101004,2,,,home,,,-1,0,1,2
320101007,2,,,home,,,-1,1,3,-2
320101023,2,,,home,,,1,-2,-1,-3
320101012,2,,,home,,,0,-1,3,-2
320102021,2,,,home,,,0,-2,-1,-1
320102002,2,,,home,,,-2,1,-4,2
320102008,2,,,home,,,1,1,4,1
320102014,2,,,away,,,-1,2,-1,5
320102017,2,,,away,,,-1,-1,-1,-4
320102018,2,,,away,,,-2,1,-3,1
320102016,2,,,home,,,-1,1,1,1
320102006,2,,,home,,,2,1,5,-1
320102007,2,,,home,,,-1,2,2,1
320102026,2,,,home,,,-1,1,-2,-1
320103005,2,,,home,,,-1,1,-3,1
320103004,2,,,home,,,1,1,1,3
320103025,2,,,away,,,-1,3,-1,-1
320103029,2,,,home,,,-1,1,1,-1
320103026,2,,,home,,,-2,2,-1,1
320103013,2,,,home,,,-2,3,1,-1
320104019,2,,,home,,,-3,3,-5,-1
320104028,2,,,home,,,-1,-1,2,1
320104002,2,,,home,,,-3,2,-5,3
320104008,2,,,away,,,2,2,4,2
320104014,2,,,home,,,1,-1,1,-1
320104018,2,,,away,,,-2,-1,-4,-1
320104003,2,,,away,,,1,-1,1,-3
320104016,2,,,away,,,-2,2,1,2
320104006,2,,,home,,,-1,2,1,1
320104024,2,,,home,,,-1,3,-2,-1
320104007,2,,,home,,,-2,3,-1,2
320104012,2,,,home,,,-3,1,-1,1
320105001,2,,,away,,,3,2,1,-1
320105024,2,,,home,,,-2,4,2,1
320105023,2,,,home,,,-3,1,-2,-2
320105022,2,,,home,,,-2,3,1,1
320106020,2,,,home,,,-2,0,-1,2
320106027,2,,,away,,,1,-2,-2,-6
320106028,2,,,away,,,-4,1,-6,2
320106030,2,,,away,,,-1,-2,-2,1
320106002,2,,,away,,,-1,3,-1,4
320106003,2,,,away,,,-2,-2,3,-4
320106016,2,,,away,,,-2,-1,-1,-1
320106019,2,,,away,,,3,4,5,1
320106025,2,,,home,,,-4,-1,-2,-2
320106026,2,,,home,,,1,3,2,2
320106013,2,,,home,,,-2,4,-3,-1
320106021,2,,,home,,,1,1,2,-1
320107001,2,,,home,,,4,-1,6,1
320107011,2,,,home,,,1,2,-1,1
320107008,2,,,away,,,2,-1,1,-2
320107017,2,,,away,,,4,-2,2,1
320107010,2,,,away,,,-1,2,1,-3
320107020,2,,,home,,,1,1,-1,3
320107024,2,,,home,,,1,5,4,2
320107006,2,,,home,,,-2,3,-5,-1
320107009,2,,,away,,,-3,-1,3,-4
320107012,2,,,home,,,-4,2,-3,2
320108027,2,,,away,,,-1,-3,-2,-7
320108023,2,,,away,,,-1,2,-1,1
320108025,2,,,home,,,-2,1,3,2
320108021,2,,,home,,,-5,2,-4,1
320108022,2,,,home,,,1,4,1,-1
320108013,2,,,home,,,-1,5,-1,1
320109020,2,,,home,,,1,2,2,4
320109028,2,,,home,,,1,-1,1,-2
320109017,2,,,away,,,1,-3,2,-1
320109018,2,,,home,,,-1,-2,-2,2
320109004,2,,,home,,,-3,2,-3,-1
320109007,2,,,away,,,-3,4,-6,-1
320110020,2,,,home,,,-3,3,-1,5
320110027,2,,,home,,,-1,-4,1,-8
320110030,2,,,away,,,-5,-3,-4,-3
320110008,2,,,away,,,-3,-2,1,-4
320110015,2,,,home,,,-3,2,-1,-5
320110016,2,,,away,,,-1,-2,1,-1
320110029,2,,,away,,,1,2,3,-2
320110026,2,,,home,,,-1,4,-1,4
320110022,2,,,home,,,-1,5,3,1
320110009,2,,,home,,,5,-2,3,-5
320110013,2,,,home,,,-2,6,2,2
320111011,2,,,home,,,2,3,3,-1
320111028,2,,,away,,,-4,1,-2,-1
320111018,2,,,home,,,2,1,6,3
320111002,2,,,away,,,1,-1,2,-1
320111003,2,,,away,,,2,-3,4,1
320111004,2,,,home,,,-4,3,1,2
320111024,2,,,home,,,1,6,1,-2
320111007,2,,,home,,,1,-1,-2,-2
320111026,2,,,away,,,-3,5,3,5
320111022,2,,,away,,,1,6,1,2
320111012,2,,,home,,,-1,3,-1,-1
320112001,2,,,home,,,-2,1,-4,-1
320112015,2,,,home,,,-4,3,-5,1
320112029,2,,,home,,,3,-1,4,-3
320112021,2,,,away,,,-2,3,-2,-1
320112009,2,,,away,,,2,1,2,1
320113020,2,,,home,,,-5,4,-1,-1
320113028,2,,,away,,,-1,-1,1,-2
320113030,2,,,away,,,-5,-4,-6,-5
320113002,2,,,away,,,1,-2,3,-2
320113003,2,,,away,,,-1,-4,-2,-1
320113010,2,,,home,,,1,-1,1,-1
320113006,2,,,home,,,-6,4,2,3
320113024,2,,,home,,,-1,7,-1,1
320113021,2,,,away,,,-1,-1,-3,-2
320113007,2,,,home,,,-2,1,-2,1
320113013,2,,,home,,,1,7,1,4
320114001,2,,,home,,,1,2,1,1
320114011,2,,,home,,,1,4,-3,2
320114027,2,,,away,,,-1,1,1,-2
320114030,2,,,home,,,-3,-5,-1,-6
320114004,2,,,home,,,-2,4,-3,4
320114010,2,,,home,,,-2,1,-2,1
320114025,2,,,home,,,-1,2,-1,5
320114029,2,,,home,,,1,1,-2,1
320114006,2,,,home,,,-1,5,-1,4
320114026,2,,,home,,,1,-1,1,-1
320114012,2,,,home,,,1,4,5,1
320115008,2,,,away,,,-4,-3,-2,1
320115007,2,,,away,,,1,2,1,2
320115024,2,,,home,,,-3,8,-3,2
320116018,2,,,away,,,3,2,3,-2
320116029,2,,,home,,,2,2,5,2
320116020,2,,,home,,,-7,5,-1,2
320116027,2,,,away,,,-1,-1,2,-3
320116030,2,,,away,,,-1,1,-1,1
320116003,2,,,away,,,-3,-5,-3,-3
320116012,2,,,home,,,-1,5,-1,2
320116001,2,,,home,,,-3,3,-4,2
320116002,2,,,away,,,3,-3,6,-4
320116016,2,,,home,,,-2,-3,-2,-1
320116013,2,,,home,,,2,8,5,-1
320117005,2,,,away,,,1,2,1,1
320117019,2,,,home,,,-3,-1,-1,4
320117014,2,,,home,,,-4,1,3,-3
320117004,2,,,home,,,-4,5,-4,-1
320117010,2,,,home,,,1,2,-1,3
320117015,2,,,away,,,-1,4,-1,-2
320117026,2,,,home,,,-2,1,3,2
320118019,2,,,away,,,-5,1,-1,5
320118020,2,,,away,,,1,6,1,3
320118027,2,,,home,,,4,-2,7,-4
320118002,2,,,home,,,-4,-4,-5,-5
320118017,2,,,home,,,2,-4,2,-2
320118018,2,,,away,,,-5,-1,-5,-3
320118001,2,,,home,,,1,4,1,3
320118003,2,,,away,,,-2,-6,3,-4
320118016,2,,,home,,,-1,1,-2,1
320118023,2,,,home,,,1,-1,3,-3
320118012,2,,,home,,,-1,6,-1,-1
320119010,2,,,home,,,-1,3,-5,4
320119014,2,,,home,,,-1,2,1,1
320119026,2,,,away,,,-2,2,-2,3
320120020,2,,,home,,,-1,-1,4,-1
320120027,2,,,away,,,2,1,2,1
320120028,2,,,away,,,-1,-2,-1,-6
320120002,2,,,away,,,1,1,1,1
320120005,2,,,away,,,-1,-1,1,-1
320120008,2,,,away,,,1,-4,4,-3
320120018,2,,,away,,,-8,-2,-3,-4
320120019,2,,,home,,,-2,-1,-1,-1
320120024,2,,,away,,,-3,9,1,1
320120009,2,,,away,,,-1,-1,-1,-1
320120012,2,,,away,,,-1,7,2,1
320121001,2,,,home,,,1,5,-2,-1
320121008,2,,,home,,,1,-5,1,-4
320121014,2,,,home,,,1,3,1,2
320121018,2,,,away,,,3,-3,3,-5
320121003,2,,,away,,,1,-7,1,-6
320121004,2,,,home,,,-4,6,-2,2
320121010,2,,,home,,,1,4,-1,5
320121017,2,,,away,,,-1,1,-1,1
320121029,2,,,home,,,1,3,2,5
320121026,2,,,home,,,1,-1,3,-1
320122027,2,,,away,,,-1,-1,-1,-1
320122012,2,,,home,,,-5,-1,-7,-1
320122014,2,,,away,,,1,4,1,3
320122017,2,,,home,,,-5,-1,-3,-1
320122013,2,,,away,,,1,9,1,-2
320123020,2,,,home,,,-6,1,-2,-1
320123002,2,,,home,,,4,-1,1,1
320123003,2,,,away,,,-1,-8,-2,-7
320123004,2,,,home,,,-2,7,1,3
320123015,2,,,away,,,-2,-1,1,2
320123016,2,,,away,,,1,2,6,-1
320123025,2,,,home,,,-2,3,1,1
320123006,2,,,home,,,2,6,2,2
320123022,2,,,home,,,-1,-1,-1,-1
320123009,2,,,away,,,2,-2,6,-2
320124011,2,,,away,,,-1,5,-1,2
320124030,2,,,away,,,-2,-1,-6,-4
320124014,2,,,home,,,-1,-1,-3,-1
320124021,2,,,away,,,-6,-2,-8,-1
320124022,2,,,home,,,3,1,7,1
320125005,2,,,home,,,1,-2,1,-4
320125020,2,,,away,,,-3,2,-1,1
320125027,2,,,home,,,-6,-2,-5,-3
320125008,2,,,away,,,-3,1,1,-1
320125004,2,,,away,,,2,8,-1,4
320125010,2,,,away,,,2,5,-1,7
320125025,2,,,home,,,-2,4,-8,2
320125006,2,,,away,,,-1,7,-2,3
320125024,2,,,home,,,1,-1,2,1
320125026,2,,,away,,,1,1,1,1
320125023,2,,,away,,,4,1,4,-2
320125009,2,,,home,,,-1,-3,2,-3
320125013,2,,,home,,,-3,-1,1,-3
320126019,2,,,away,,,1,1,2,1
320126012,2,,,home,,,-1,1,-1,-1
320127020,2,,,home,,,-7,-1,-6,-1
320127002,2,,,home,,,3,1,1,3
320127005,2,,,away,,,1,1,1,1
320127008,2,,,away,,,-1,-1,-1,-2
320127003,2,,,home,,,1,-9,-1,-9
320127004,2,,,home,,,3,-1,1,-1
320127010,2,,,home,,,-7,-1,1,-1
320127014,2,,,home,,,-1,1,-1,2
320127016,2,,,home,,,1,-1,2,1
320127006,2,,,home,,,2,-1,-1,-1
320127007,2,,,home,,,2,-1,2,5
320127022,2,,,home,,,-1,2,-2,-1
320127009,2,,,away,,,1,1,3,1
320128020,2,,,home,,,-3,1,-3,1
320128030,2,,,away,,,-8,-2,-1,-7
320128010,2,,,home,,,-2,1,-2,1
320128015,2,,,home,,,-3,-2,1,-1
320128021,2,,,home,,,-2,-3,-2,-3
320128026,2,,,home,,,-2,-1,-3,-2
320129014,2,,,home,,,1,2,1,3
320129002,2,,,away,,,-2,2,-1,4
320129017,2,,,away,,,-1,1,-1,2
320129019,2,,,away,,,-1,-1,-1,-2
