away_DREB,away_OREB,away_TO,home_DREB,home_OREB,home_TO,id
40,17,12,33,13,7,400578774
32,10,20,23,15,14,400578775
33,13,7,35,15,14,400578776
41,4,22,29,8,11,400578777
36,16,11,29,9,12,400578778
40,9,16,30,17,11,400578779
25,13,19,37,12,18,400578780
31,8,15,32,6,10,400578781
35,10,15,33,10,12,400578782
25,16,16,35,13,19,400578783
36,11,10,30,17,14,400578784
26,11,15,31,14,9,400578785
33,13,12,33,5,13,400578786
37,16,14,32,12,7,400578787
35,10,20,35,24,16,400578788
25,8,21,31,17,16,400578789
36,11,12,23,14,8,400578790
22,9,6,29,9,10,400578791
29,8,12,40,8,13,400578792
36,10,14,33,11,18,400578793
30,15,21,34,9,8,400578794
32,4,10,26,12,12,400578795
36,5,15,41,8,13,400578796
28,10,11,34,8,14,400578797
34,14,18,29,7,16,400578798
34,9,20,33,8,16,400578799
34,16,14,32,5,11,400578800
30,13,11,35,8,17,400578801
36,12,15,23,10,6,400578802
37,14,10,45,7,14,400578803
25,16,16,30,17,17,400578804
30,7,20,34,11,17,400578805
32,9,12,27,15,12,400578806
29,11,10,29,10,18,400578807
27,8,10,27,14,10,400578808
38,11,10,35,10,9,400578809
39,20,11,44,10,12,400578810
34,7,12,37,8,21,400578811
34,12,19,31,13,17,400578812
30,15,14,28,13,17,400578813
34,9,14,34,9,10,400578814
31,19,17,24,13,15,400578815
36,7,24,29,15,24,400578816
31,10,15,35,9,16,400578817
31,8,21,29,8,17,400578818
30,11,6,39,11,17,400578819
34,14,15,27,16,15,400578820
42,18,15,34,9,14,400578821
32,10,14,41,6,21,400578822
27,14,13,30,16,19,400578823
39,15,24,39,13,16,400578824
36,5,17,29,10,11,400578825
37,9,12,34,8,6,400578826
37,9,8,34,8,14,400578827
29,7,19,28,10,21,400578828
32,10,9,35,15,7,400578829
37,13,10,40,16,16,400578830
27,11,14,33,9,17,400578831
43,6,14,35,11,7,400578832
31,13,10,34,13,10,400578833
35,9,20,29,9,14,400578834
35,11,16,36,12,13,400578835
27,13,19,30,9,22,400578836
39,9,19,33,7,15,400578837
29,10,11,26,12,14,400578838
31,14,14,35,9,13,400578839
32,4,15,42,18,12,400578840
40,11,15,25,4,12,400578841
32,8,11,38,9,10,400578842
37,9,13,35,9,10,400578843
35,19,13,32,12,16,400578844
34,9,18,33,15,13,400578845
25,12,11,29,22,12,400578846
32,9,27,25,8,20,400578847
36,9,11,35,7,13,400578848
32,17,16,37,6,20,400578849
31,8,19,29,13,8,400578850
31,15,12,21,6,13,400578851
37,9,20,43,11,24,400578852
35,6,14,38,7,4,400578853
37,6,11,38,7,13,400578854
29,16,18,27,17,11,400578855
30,12,14,30,11,16,400578856
29,17,8,32,10,18,400578857
32,2,10,32,11,14,400578858
27,7,15,31,10,17,400578859
32,15,16,23,12,18,400578860
26,8,7,40,8,15,400578861
26,16,19,25,9,11,400578862
25,6,9,33,11,15,400578863
32,12,10,47,12,20,400578864
43,9,18,33,13,12,400578865
36,6,12,33,15,10,400578866
28,10,20,29,10,15,400578867
27,14,9,30,6,18,400578868
36,11,12,27,3,7,400578869
34,11,12,39,10,17,400578870
33,10,15,25,8,12,400578871
29,6,12,27,13,16,400578872
29,10,8,40,11,16,400578873
30,11,17,26,10,13,400578874
37,7,7,37,11,12,400578875
31,5,21,30,14,15,400578877
33,10,17,30,11,12,400578876
26,12,9,27,8,11,400578878
34,15,15,32,12,12,400578879
38,9,11,34,5,15,400578880
40,15,18,30,9,8,400578881
31,8,10,29,8,19,400578882
28,8,7,34,11,13,400578883
28,4,17,23,12,17,400578884
30,13,14,38,16,14,400578885
39,13,15,42,10,14,400578886
30,2,16,34,15,12,400578887
23,13,10,31,15,16,400578888
34,8,19,26,12,12,400578889
32,6,9,29,6,15,400578890
32,12,19,26,17,13,400578891
49,7,19,44,14,7,400578892
32,10,22,29,18,16,400578893
31,9,9,36,7,13,400578894
37,12,14,29,10,17,400578895
36,13,13,29,11,10,400578897
25,15,7,39,11,14,400578896
35,8,15,26,13,10,400578898
23,11,5,32,22,17,400578899
30,11,17,30,7,15,400578900
44,10,20,23,10,18,400578901
36,12,12,38,11,10,400578902
32,10,16,37,10,10,400578903
20,10,16,40,13,22,400578904
41,20,18,37,5,10,400578905
31,12,13,34,10,11,400578906
31,8,16,46,7,13,400578907
30,12,13,33,9,13,400578908
32,11,19,32,7,19,400578909
30,20,9,25,9,4,400578910
29,11,8,34,20,12,400578912
34,20,15,32,11,16,400578911
42,11,21,26,9,13,400578913
33,13,23,31,10,15,400578914
30,12,11,32,4,19,400578915
30,14,16,30,12,16,400578916
31,10,7,36,20,14,400578917
26,16,17,30,15,13,400578918
34,18,11,28,15,14,400578919
32,10,18,34,9,16,400578920
29,13,14,34,11,15,400578921
29,21,14,36,9,13,400578922
36,6,10,27,16,10,400578923
31,10,16,35,10,15,400578924
46,11,10,45,13,9,400578925
34,10,14,39,11,13,400578926
33,10,14,32,10,14,400578927
29,17,19,30,16,16,400578928
30,9,12,38,8,10,400578929
31,12,22,25,15,12,400578930
37,10,16,32,13,10,400578931
25,15,12,39,9,14,400578932
29,13,14,33,15,18,400578933
27,9,11,37,10,16,400578934
30,12,11,45,11,11,400578935
29,8,18,32,4,16,400578936
31,8,14,37,12,14,400578937
32,15,21,21,9,12,400578938
31,6,13,29,9,13,400578939
32,8,8,40,12,10,400578940
33,8,14,31,17,12,400578941
35,6,14,31,13,12,400578942
32,11,19,34,12,17,400578943
40,14,14,31,10,9,400578944
30,16,19,36,9,20,400578945
33,15,23,38,9,18,400578946
21,8,17,37,6,15,400578947
39,2,12,36,8,12,400578948
41,13,10,29,14,9,400578949
32,10,8,37,11,11,400578950
36,14,11,26,5,11,400578951
25,13,9,29,11,9,400578952
26,11,13,21,8,10,400578953
38,9,14,30,3,12,400578954
29,13,17,27,14,15,400578955
30,14,14,31,6,8,400578956
35,13,14,38,9,13,400578957
40,10,17,31,14,9,400578958
35,11,14,40,13,21,400578959
31,13,17,32,7,15,400578962
25,13,12,35,17,11,400578963
35,15,13,38,14,15,400578964
32,5,14,29,10,14,400578965
30,8,10,35,10,13,400578966
34,8,10,32,11,14,400578967
34,13,9,35,16,18,400578968
30,4,12,28,5,12,400578969
31,9,13,27,8,16,400578970
42,19,21,33,15,13,400578971
42,9,16,30,8,11,400578972
28,11,8,32,14,8,400578973
24,14,17,35,13,19,400578974
25,6,17,28,11,16,400578976
26,9,8,33,12,11,400578975
36,10,23,28,11,16,400578977
30,9,13,39,6,11,400578978
31,8,8,31,17,9,400578979
37,10,13,40,11,10,400578980
35,8,12,39,10,14,400578981
27,10,8,31,16,9,400578982
35,15,13,34,7,9,400578983
31,7,15,35,14,23,400578984
27,6,10,41,8,11,400578986
37,10,16,44,13,9,400578985
32,17,11,36,18,13,400578987
27,11,21,27,7,14,400578988
37,9,17,35,7,13,400578989
38,12,16,34,14,11,400578990
36,9,9,36,14,7,400578991
36,14,16,37,7,17,400578992
29,9,5,37,14,8,400578993
36,13,10,35,17,16,400578994
30,11,13,38,17,11,400578995
37,12,11,39,11,13,400578996
37,9,12,31,9,14,400578997
33,3,12,31,11,15,400578998
28,6,13,28,12,22,400578999
34,10,14,36,8,12,400579000
28,11,13,32,12,12,400579001
35,12,17,34,20,11,400579002
34,18,13,23,12,12,400579003
33,11,16,41,9,17,400579004
47,10,10,36,8,12,400579005
40,16,15,32,4,17,400579006
37,15,20,35,9,15,400579007
36,10,16,32,8,13,400579008
36,10,14,30,11,10,400579009
26,11,21,32,11,18,400579010
36,6,11,33,10,12,400579011
