id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
400578774,22.0,8.0,19.0,11.0,13.0,4.0,10.0,6.0,14.0,4.0,9.0,8.0
400578775,5.0,3.0,19.0,9.0,13.0,5.0,25.0,11.0,2.0,14.0,8.0,10.0
400578776,10.0,7.0,14.0,7.0,18.0,7.0,23.0,11.0,3.0,12.0,11.0,7.0
400578777,13.0,4.0,16.0,8.0,15.0,7.0,22.0,10.0,9.0,12.0,8.0,8.0
400578778,11.0,8.0,10.0,5.0,23.0,10.0,18.0,9.0,3.0,9.0,13.0,5.0
400578779,5.0,3.0,23.0,10.0,8.0,5.0,29.0,13.0,2.0,16.0,3.0,13.0
400578780,16.0,10.0,9.0,3.0,22.0,11.0,16.0,4.0,6.0,12.0,11.0,6.0
400578781,16.0,9.0,9.0,5.0,22.0,8.0,17.0,7.0,7.0,10.0,14.0,4.0
400578782,17.0,7.0,21.0,12.0,12.0,5.0,16.0,6.0,10.0,10.0,7.0,9.0
400578783,18.0,7.0,26.0,12.0,4.0,4.0,16.0,7.0,11.0,9.0,0.0,14.0
400578784,11.0,6.0,8.0,5.0,23.0,9.0,21.0,9.0,5.0,12.0,14.0,3.0
400578785,25.0,12.0,8.0,5.0,24.0,10.0,5.0,1.0,13.0,4.0,14.0,3.0
400578786,10.0,4.0,8.0,4.0,23.0,10.0,22.0,11.0,6.0,11.0,13.0,4.0
400578787,13.0,4.0,24.0,12.0,10.0,3.0,23.0,11.0,9.0,12.0,7.0,12.0
400578788,23.0,9.0,19.0,9.0,11.0,3.0,10.0,6.0,14.0,4.0,8.0,10.0
400578789,22.0,11.0,19.0,7.0,14.0,8.0,10.0,6.0,11.0,4.0,6.0,12.0
400578790,5.0,3.0,22.0,12.0,11.0,5.0,26.0,12.0,2.0,14.0,6.0,10.0
400578791,20.0,11.0,10.0,6.0,22.0,8.0,14.0,5.0,9.0,9.0,14.0,4.0
400578792,13.0,9.0,8.0,4.0,24.0,11.0,20.0,8.0,4.0,12.0,13.0,4.0
400578793,26.0,15.0,8.0,5.0,24.0,10.0,7.0,2.0,11.0,5.0,14.0,3.0
400578794,22.0,14.0,27.0,13.0,4.0,4.0,11.0,4.0,8.0,7.0,0.0,14.0
400578795,19.0,11.0,10.0,5.0,24.0,11.0,14.0,7.0,8.0,7.0,13.0,5.0
400578796,9.0,3.0,19.0,9.0,14.0,6.0,23.0,13.0,6.0,10.0,8.0,10.0
400578797,14.0,6.0,16.0,8.0,16.0,8.0,20.0,12.0,8.0,8.0,8.0,8.0
400578798,5.0,3.0,17.0,10.0,17.0,10.0,30.0,14.0,2.0,16.0,7.0,7.0
400578799,19.0,8.0,9.0,6.0,24.0,10.0,16.0,7.0,11.0,9.0,14.0,3.0
400578800,10.0,4.0,21.0,12.0,13.0,6.0,23.0,12.0,6.0,11.0,7.0,9.0
400578801,4.0,0.0,15.0,7.0,19.0,8.0,28.0,14.0,4.0,14.0,11.0,8.0
400578802,11.0,8.0,24.0,12.0,11.0,4.0,20.0,10.0,3.0,10.0,7.0,12.0
400578803,16.0,8.0,10.0,5.0,25.0,12.0,17.0,8.0,8.0,9.0,13.0,5.0
